,Bowler,Country,No. of Matches Bowled In,Total Wickets,Total Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
251,Ashish Rana,Estonia,2,3,30,26,8.666666667,5.2,10,15,1.5
252,Ashraful Shuvo,Estonia,3,0,36,46,0,7.666666667,0,12,0
253,Ashwin Vinod,Switzerland,13,15,282,314,20.93333333,6.680851064,18.8,21.69230769,1.153846154
254,Asif Bevinje,Romania,6,10,132,173,17.3,7.863636364,13.2,22,1.666666667
255,Asif Iqbal,South Korea,2,1,30,42,42,8.4,30,15,0.5
256,Aslam Mohammad,Greece,4,2,60,75,37.5,7.5,30,15,0.5
257,Asrar Ahmed,Greece,2,2,48,106,53,13.25,24,24,1
258,Assad Borham,Qatar,1,0,6,12,0,12,0,6,0
259,Assad Mehmood,Portugal,2,1,42,29,29,4.142857143,42,21,0.5
260,Ateeq Iqbal,Hong Kong,1,0,6,6,0,6,0,6,0
261,Atif Ali Khan,United Arab Emirates,1,0,24,43,0,10.75,0,24,0
262,Atif Kamal,Luxembourg,9,10,156,182,18.2,7,15.6,17.33333333,1.111111111
263,Atif Mehmood,Spain,16,16,299,279,17.4375,5.598662207,18.6875,18.6875,1
264,Atif Rasheed,Finland,1,0,6,19,0,19,0,6,0
265,Atif-Ur-Rehman,Saudi Arabia,6,5,121,121,24.2,6,24.2,20.16666667,0.833333333
266,Aung Ko Ko,Myanmar,2,2,30,36,18,7.2,15,15,1
267,Avesh Khan,India,14,12,278,422,35.16666667,9.107913669,23.16666667,19.85714286,0.857142857
268,Avi Dixit,Singapore,1,0,6,15,0,15,0,6,0
269,Awais Ikram,Slovenia,2,3,36,71,23.66666667,11.83333333,12,18,1.5
270,Ayan Khan,Oman,8,1,108,130,130,7.222222222,108,13.5,0.125
271,Ayyaz Qureshi,Slovenia,3,5,68,99,19.8,8.735294118,13.6,22.66666667,1.666666667
272,Azam Khalil,Sweden,9,9,186,178,19.77777778,5.741935484,20.66666667,20.66666667,1
273,Aziz Mohammad,Belgium,4,2,60,72,36,7.2,30,15,0.5
274,Aziz Sualley,Ghana,5,4,84,93,23.25,6.642857143,21,16.8,0.8
275,Azmat Ali,Germany,1,0,6,9,0,9,0,6,0
276,Azmatullah Omarzai,Afghanistan,22,11,315,455,41.36363636,8.666666667,28.63636364,14.31818182,0.5
277,Azyan Farhath,Maldives,4,9,73,55,6.111111111,4.520547945,8.111111111,18.25,2.25
278,B Arora,Malta,28,14,470,591,42.21428571,7.544680851,33.57142857,16.78571429,0.5
279,B Dugic,Serbia,5,1,66,136,136,12.36363636,66,13.2,0.2
280,B Evans,Zimbabwe,8,6,142,178,29.66666667,7.521126761,23.66666667,17.75,0.75
281,B Fernando,Sri Lanka,12,11,241,324,29.45454545,8.066390041,21.90909091,20.08333333,0.916666667
282,B Geeves,Australia,1,2,20,35,17.5,10.5,10,20,2
283,B George,Malta,5,1,69,115,115,10,69,13.8,0.2
284,B Jerkovic,Croatia,4,4,48,89,22.25,11.125,12,12,1
285,B Kalki Kumar,Malta,2,0,30,40,0,8,0,15,0
286,B Karki,Nepal,1,1,24,6,6,1.5,24,24,1
287,B Kgosiemang,Botswana,6,3,72,110,36.66666667,9.166666667,24,12,0.5
288,B Khumalo,Botswana,11,5,149,183,36.6,7.369127517,29.8,13.54545455,0.454545455
289,B Kumar,India,78,81,1641,1921,23.71604938,7.023765996,20.25925926,21.03846154,1.038461538
290,B Laughlin,Australia,3,2,71,118,59,9.971830986,35.5,23.66666667,0.666666667
291,B Lee,Australia,24,27,539,711,26.33333333,7.914656772,19.96296296,22.45833333,1.125
292,B Maphosa,Botswana,6,1,81,116,116,8.592592593,81,13.5,0.166666667
293,B Masaba,Uganda,14,8,223,221,27.625,5.946188341,27.875,15.92857143,0.571428571
294,B Mavuta,Zimbabwe,9,3,150,201,67,8.04,50,16.66666667,0.333333333
295,B Muzarabani,Zimbabwe,33,41,750,990,24.14634146,7.92,18.29268293,22.72727273,1.242424242
296,B Niaz,Belgium,6,8,106,104,13,5.886792453,13.25,17.66666667,1.333333333
297,B Pondani,Malawi,1,2,24,14,7,3.5,12,24,2
298,B Regmi,Nepal,14,19,301,314,16.52631579,6.259136213,15.84210526,21.5,1.357142857
299,B Schuster,Samoa,2,0,24,27,0,6.75,0,12,0
300,B Shikongo,Namibia,21,17,300,320,18.82352941,6.4,17.64705882,14.28571429,0.80952381
301,B Stanlake,Australia,19,27,420,544,20.14814815,7.771428571,15.55555556,22.10526316,1.421052632
302,B Ward,Jersey,24,31,520,498,16.06451613,5.746153846,16.77419355,21.66666667,1.291666667
303,B White,Ireland,19,22,408,513,23.31818182,7.544117647,18.54545455,21.47368421,1.157894737
304,B Yadav,Nepal,4,0,24,44,0,11,0,6,0
305,BA Pai,Gibraltar,23,19,474,555,29.21052632,7.025316456,24.94736842,20.60869565,0.826086957
306,BA Stokes,England,35,25,594,831,33.24,8.393939394,23.76,16.97142857,0.714285714
