,Batter,Country,No. of Innings,No. of Not Outs,Total Runs,Total Balls Faced,No. of Outs,Batting Average,Strike Rate,Balls Faced per Innings,Balls Faced per Wicket
1746,Mudassar Muhammad,Germany,3,0,86,88,3,28.66666667,97.72727273,29.33333333,29.33333333
1747,Mudassir Iqbal,South Korea,3,1,56,46,2,28,121.7391304,15.33333333,23
1748,Muhammad Amin,Swaziland,6,0,150,113,6,25,132.7433628,18.83333333,18.83333333
1749,Muhammad Amir,Malaysia,10,0,157,134,10,15.7,117.1641791,13.4,13.4
1750,Muhammad Asjed,Spain,1,0,7,7,1,7,100,7,7
1751,Muhammad Fahim,Belgium,2,0,5,9,2,2.5,55.55555556,4.5,4.5
1752,Muhammad Farooq,Cyprus,1,0,5,4,1,5,125,4,4
1753,Muhammad Kaleem,United Arab Emirates,8,0,95,112,8,11.875,84.82142857,14,14
1754,Muhammad Kashif,Kuwait,9,1,175,144,8,21.875,121.5277778,16,18
1755,Muhammad Muneeb,Belgium,9,0,156,153,9,17.33333333,101.9607843,17,17
1756,Muhammad Murad,Qatar,2,1,17,17,1,17,100,8.5,17
1757,Muhammad Naeem,Saudi Arabia,1,0,27,22,1,27,122.7272727,22,22
1758,Muhammad Safdar,Bahrain,2,2,16,12,0,16,133.3333333,6,inf
1759,Muhammad Shoaib Ahmed,Cyprus,5,0,90,84,5,18,107.1428571,16.8,16.8
1760,Muhammad Siddiqui,Slovenia,3,0,81,60,3,27,135,20,20
1761,Muhammad Tanveer,Qatar,12,1,270,203,11,24.54545455,133.0049261,16.91666667,18.45454545
1762,Muhammad Usman,United Arab Emirates,37,4,730,644,33,22.12121212,113.3540373,17.40540541,19.51515152
1763,Muhammad Wafiq,Malaysia,9,2,29,39,7,4.142857143,74.35897436,4.333333333,5.571428571
1764,Muhammad Yasin,Spain,4,0,70,50,4,17.5,140,12.5,12.5
1765,Muhammad Younis,Bahrain,12,1,229,183,11,20.81818182,125.136612,15.25,16.63636364
1766,Muhammed Manga,Gambia,6,1,124,158,5,24.8,78.48101266,26.33333333,31.6
1767,Muhammed Shanil,United Arab Emirates,1,1,1,3,0,1,33.33333333,3,inf
1768,Muhammed Turkmen,Turkey,2,0,32,20,2,16,160,10,10
1769,Muhammet Bicer,Turkey,1,1,0,1,0,0,0,1,inf
1770,Muhammet Kursat,Turkey,2,0,0,9,2,0,0,4.5,4.5
1771,Mujeeb Ur Rahman,Afghanistan,10,5,33,35,5,6.6,94.28571429,3.5,7
1772,Mukesh Kumar,India,2,2,5,2,0,5,250,1,inf
1773,Mukhtar Ahmed,Pakistan,6,0,192,134,6,32,143.2835821,22.33333333,22.33333333
1774,Mukhtar Ghulami,France,9,1,176,154,8,22,114.2857143,17.11111111,19.25
1775,Muktar Ali,Bangladesh,1,1,19,15,0,19,126.6666667,15,inf
1776,Munim Shahriar,Bangladesh,4,0,32,44,4,8,72.72727273,11,11
1777,Munir Dar,Hong Kong,2,0,39,33,2,19.5,118.1818182,16.5,16.5
1778,Murat Ipek,Turkey,2,0,1,2,2,0.5,50,1,1
1779,Murat Yilmaz,Turkey,2,1,2,7,1,2,28.57142857,3.5,7
1780,Murid Ekrami,Belgium,7,2,46,31,5,9.2,148.3870968,4.428571429,6.2
1781,Musa Shaheen,Denmark,14,1,96,128,13,7.384615385,75,9.142857143,9.846153846
1782,Mushfiqur Rahim,Bangladesh,86,15,1409,1212,71,19.84507042,116.2541254,14.09302326,17.07042254
1783,Muslim Yar,Germany,12,3,142,112,9,15.77777778,126.7857143,9.333333333,12.44444444
1784,Mustafa Omer,France,1,0,4,11,1,4,36.36363636,11,11
1785,Mustafizur Rahman,Bangladesh,23,8,68,89,15,4.533333333,76.40449438,3.869565217,5.933333333
1786,Mustapha Suwareh,Gambia,6,0,20,38,6,3.333333333,52.63157895,6.333333333,6.333333333
1787,Mustapha Yusuf,Nigeria,4,2,33,34,2,16.5,97.05882353,8.5,17
1788,Muzammil Shahzad,Philippines,3,0,2,16,3,0.666666667,12.5,5.333333333,5.333333333
1789,Myat Thu Aung,Myanmar,1,0,7,17,1,7,41.17647059,17,17
1790,N Acawei,Fiji,5,0,51,68,5,10.2,75,13.6,13.6
1791,N Advani,Gibraltar,3,0,2,10,3,0.666666667,20,3.333333333,3.333333333
1792,N Ahir,Panama,2,1,15,35,1,15,42.85714286,17.5,35
1793,N Chejay,Bhutan,4,1,21,39,3,7,53.84615385,9.75,13
1794,N Davidovic,Croatia,2,-1,20,11,3,6.666666667,181.8181818,5.5,3.666666667
1795,N Davin,Namibia,16,1,335,215,15,22.33333333,155.8139535,13.4375,14.33333333
1796,N Deonarine,West Indies,7,2,55,53,5,11,103.7735849,7.571428571,10.6
1797,N Dickwella,Sri Lanka,25,0,480,364,25,19.2,131.8681319,14.56,14.56
1798,N Dutta,Canada,4,3,32,26,1,32,123.0769231,6.5,26
1799,N Khanna,Malta,20,6,213,160,14,15.21428571,133.125,8,11.42857143
1800,N Knights,Isle of Man,13,0,193,139,13,14.84615385,138.8489209,10.69230769,10.69230769
1801,N Krishna,Seychelles,7,1,45,54,6,7.5,83.33333333,7.714285714,9
1802,N M'shangwe,Zimbabwe,2,1,5,4,1,5,125,2,4
1803,N Madziva,Zimbabwe,10,5,88,78,5,17.6,112.8205128,7.8,15.6
1804,N Mapunda,Tanzania,1,0,15,21,1,15,71.42857143,21,21
1805,N Master,Botswana,2,0,23,18,2,11.5,127.7777778,9,9
1806,N Nankov,Bulgaria,1,0,1,5,1,1,20,5,5
1807,N Ndouteng,Cameroon,2,1,1,5,1,1,20,2.5,5
1808,N Nipiko,Vanuatu,19,5,507,436,14,36.21428571,116.2844037,22.94736842,31.14285714
1809,N Nuntarach,Thailand,8,1,62,81,7,8.857142857,76.54320988,10.125,11.57142857
1810,N Pathan,Thailand,8,1,149,128,7,21.28571429,116.40625,16,18.28571429
1811,N Pokana,Papua New Guinea,7,3,25,30,4,6.25,83.33333333,4.285714286,7.5
1812,N Pooran,West Indies,71,8,1649,1243,63,26.17460317,132.6629123,17.50704225,19.73015873
1813,N Pradeep,Sri Lanka,4,3,10,15,1,10,66.66666667,3.75,15
1814,N Rana,India,2,0,15,27,2,7.5,55.55555556,13.5,13.5
1815,N Senamontree,Thailand,5,1,21,39,4,5.25,53.84615385,7.8,9.75
1816,N Thushara,Sri Lanka,2,2,2,4,0,2,50,2,inf
1817,N Vanua,Papua New Guinea,32,8,577,406,24,24.04166667,142.1182266,12.6875,16.91666667
1818,N Wijesekera,Austria,8,2,64,83,6,10.66666667,77.10843373,10.375,13.83333333
1819,N Zimonjic,Serbia,7,1,55,49,6,9.166666667,112.244898,7,8.166666667
1820,NA Greenwood,Jersey,17,2,508,355,15,33.86666667,143.0985915,20.88235294,23.66666667
1821,NA Janes,Thailand,2,0,9,11,2,4.5,81.81818182,5.5,5.5
1822,NA Karnik,Singapore,1,1,2,14,0,2,14.28571429,14,inf
1823,NA Maiolo,Italy,4,0,34,40,4,8.5,85,10,10
1824,NA Rock,Ireland,12,1,110,98,11,10,112.244898,8.166666667,8.909090909
1825,NB Budayair,Nepal,3,1,7,19,2,3.5,36.84210526,6.333333333,9.5
1826,NCK Liyanage,Malaysia,2,0,8,8,2,4,100,4,4
1827,ND Laegsgaard,Denmark,18,2,347,238,16,21.6875,145.7983193,13.22222222,14.875
1828,ND McKenzie,South Africa,1,1,7,8,0,7,87.5,8,inf
1829,NE Bonner,West Indies,2,0,27,38,2,13.5,71.05263158,19,19
1830,NFI McCallum,Scotland,4,0,8,21,4,2,38.0952381,5.25,5.25
1831,NG Collins,Finland,14,1,301,316,13,23.15384615,95.25316456,22.57142857,24.30769231
1832,NG Jones,Ireland,3,1,28,26,2,14,107.6923077,8.666666667,13
1833,NH Ekanayake,Bahamas,4,1,30,43,3,10,69.76744186,10.75,14.33333333
1834,NJ Astle,New Zealand,3,1,69,60,2,34.5,115,20,30
1835,NJ Ferraby,Jersey,13,0,133,133,13,10.23076923,100,10.23076923,10.23076923
1836,NJ Maddinson,Australia,4,0,45,35,4,11.25,128.5714286,8.75,8.75
1837,NJ O'Brien,Ireland,19,1,309,326,18,17.16666667,94.78527607,17.15789474,18.11111111
1838,NJ Reardon,Australia,1,0,4,8,1,4,50,8,8
1839,NK Aneesh Kumar,Switzerland,5,3,10,16,2,5,62.5,3.2,8
1840,NK Patel,United States of America,8,4,75,67,4,18.75,111.9402985,8.375,16.75
1841,NK Tiwari,Cyprus,9,1,162,180,8,20.25,90,20,22.5
1842,NL McCullum,New Zealand,33,11,271,262,22,12.31818182,103.4351145,7.939393939,11.90909091
1843,NL Smith,Italy,6,2,90,111,4,22.5,81.08108108,18.5,27.75
1844,NL Ujawe,Slovenia,3,2,3,4,1,3,75,1.333333333,4
1845,NLTC Perera,ICC World XI/Sri Lanka,68,20,1133,736,48,23.60416667,153.9402174,10.82352941,15.33333333
1846,NM Carter,Scotland,2,0,4,12,2,2,33.33333333,6,6
1847,NM Coulter-Nile,Australia,13,4,132,108,9,14.66666667,122.2222222,8.307692308,12
1848,NM Hauritz,Australia,2,0,6,10,2,3,60,5,5
1849,NM Lyon,Australia,1,1,4,4,0,4,100,4,inf
1850,NM Odhiambo,Kenya,23,3,322,323,20,16.1,99.69040248,14.04347826,16.15
1851,NMS Param,Singapore,12,3,254,199,9,28.22222222,127.638191,16.58333333,22.11111111
1852,NN Banner,Belize,1,0,4,8,1,4,50,8,8
1853,NN Odhiambo,Kenya,21,3,198,187,18,11,105.8823529,8.904761905,10.38888889
1854,NO Miller,West Indies,5,4,43,47,1,43,91.4893617,9.4,47
1855,NR Johns-Wickberg,Serbia,10,4,66,89,6,11,74.15730337,8.9,14.83333333
1856,NR Kirton,Canada,5,2,75,83,3,25,90.36144578,16.6,27.66666667
1857,NR Kumar,Canada,16,2,434,333,14,31,130.3303303,20.8125,23.78571429
1858,NS Dhaliwal,Canada,18,4,656,456,14,46.85714286,143.8596491,25.33333333,32.57142857
1859,NS Poonia,Scotland,5,1,94,103,4,23.5,91.26213592,20.6,25.75
1860,NSK Mehta,Belgium,2,0,1,3,2,0.5,33.33333333,1.5,1.5
1861,NT Broom,New Zealand,7,1,73,68,6,12.16666667,107.3529412,9.714285714,11.33333333
1862,NT Ellis,Australia,2,0,1,9,2,0.5,11.11111111,4.5,4.5
1863,NV Ojha,India,2,0,12,27,2,6,44.44444444,13.5,13.5
1864,NW Bracken,Australia,6,3,15,22,3,5,68.18181818,3.666666667,7.333333333
1865,Nadeem Ahmed,Hong Kong,9,4,34,55,5,6.8,61.81818182,6.111111111,11
1866,Nader Zahadiafzal,Iran,1,0,0,3,1,0,0,3,3
1867,Nadif Chowdhury,Bangladesh,2,0,17,15,2,8.5,113.3333333,7.5,7.5
1868,Naeem Gull,Swaziland/Eswatini,11,1,172,195,10,17.2,88.20512821,17.72727273,19.5
1869,Naeem Islam,Bangladesh,10,1,130,114,9,14.44444444,114.0350877,11.4,12.66666667
1870,Naiem Bameri,Iran,1,0,4,14,1,4,28.57142857,14,14
1871,Najeeb Amar,Hong Kong,1,0,2,9,1,2,22.22222222,9,9
1872,Najeeb Tarakai,Afghanistan,12,0,258,209,12,21.5,123.4449761,17.41666667,17.41666667
1873,Najibullah Zadran,Afghanistan,83,29,1712,1217,54,31.7037037,140.673788,14.6626506,22.53703704
1874,Najjam Shahzad,Portugal,15,3,285,209,12,23.75,136.3636364,13.93333333,17.41666667
1875,Namgay Thinley,Bhutan,10,0,76,125,10,7.6,60.8,12.5,12.5
1876,Naseem Khan,Croatia,5,0,49,55,5,9.8,89.09090909,11,11
1877,Naseem Khushi,Oman,18,3,242,175,15,16.13333333,138.2857143,9.722222222,11.66666667
1878,Naseem Shah,Pakistan,7,3,25,21,4,6.25,119.047619,3,5.25
1879,Nasir Hossain,Bangladesh,18,2,269,244,16,16.8125,110.2459016,13.55555556,15.25
1880,Nasir Jamshed,Pakistan,17,1,318,284,16,19.875,111.971831,16.70588235,17.75
1881,Nasrulla Rana,Hong Kong,6,2,18,24,4,4.5,75,4,6
1882,Nasum Ahmed,Bangladesh,14,7,57,65,7,8.142857143,87.69230769,4.642857143,9.285714286
1883,Nauman Anwar,Pakistan,1,0,18,10,1,18,180,10,10
1884,Navdeep Saini,India,2,2,1,2,0,1,50,1,inf
1885,Naved-ul-Hasan,Pakistan,1,0,1,9,1,1,11.11111111,9,9
1886,Naveed Ahmed,Czech Republic,9,4,72,74,5,14.4,97.2972973,8.222222222,14.8
1887,Naveed Shahid,Finland,1,1,12,7,0,12,171.4285714,7,inf
1888,Naveen-ul-Haq,Afghanistan,4,3,18,21,1,18,85.71428571,5.25,21
1889,Navid Balouch,Iran,1,1,19,21,0,19,90.47619048,21,inf
1890,Nawaf Ahmed,Kuwait,1,1,10,4,0,10,250,4,inf
1891,Nawroz Mangal,Afghanistan,29,3,453,402,26,17.42307692,112.6865672,13.86206897,15.46153846
1892,Nay Lin Htun,Myanmar,1,0,1,2,1,1,50,2,2
1893,Nazakat Ali,Norway,2,0,35,31,2,17.5,112.9032258,15.5,15.5
1894,Nazimuddin,Bangladesh,7,0,178,156,7,25.42857143,114.1025641,22.28571429,22.28571429
1895,Nazmul Hossain,Bangladesh,2,2,3,14,0,3,21.42857143,7,inf
1896,Nazmul Hossain Shanto,Bangladesh,25,4,566,508,21,26.95238095,111.4173228,20.32,24.19047619
1897,Nazmul Islam,Bangladesh,4,3,18,17,1,18,105.8823529,4.25,17
1898,Nazril Rahman,Malaysia,6,1,65,63,5,13,103.1746032,10.5,12.6
1899,Nazwan Ismail,Maldives,1,1,2,2,0,2,100,2,inf
1900,Nestor Dhamba,Oman,1,0,3,6,1,3,50,6,6
1901,Ngawang Thinley,Bhutan,4,2,22,26,2,11,84.61538462,6.5,13
1902,Nijat Masood,Afghanistan,1,1,4,4,0,4,100,4,inf
1903,Niv Nagavkar,Israel,2,0,11,17,2,5.5,64.70588235,8.5,8.5
1904,Nizakat Khan,Hong Kong,53,0,1038,854,53,19.58490566,121.5456674,16.11320755,16.11320755
1905,Noman Amjad,France,15,4,185,171,11,16.81818182,108.1871345,11.4,15.54545455
1906,Noor Ahmad,Afghanistan,1,1,4,8,0,4,50,8,inf
1907,Noor Ali Zadran,Afghanistan,18,1,433,424,17,25.47058824,102.1226415,23.55555556,24.94117647
1908,Noorkhan Ahmedi,Switzerland,5,0,63,49,5,12.6,128.5714286,9.8,9.8
1909,Nooruddin Mujadady,Germany,2,0,28,17,2,14,164.7058824,8.5,8.5
1910,Noorullah Sidiqi,Belgium,1,1,6,1,0,6,600,1,inf
1911,Nouman Butt,Norway,1,0,5,10,1,5,50,10,10
1912,Nouman Sarwar,Qatar,4,3,96,64,1,96,150,16,64
1913,Nurul Hasan,Bangladesh,40,14,420,358,26,16.15384615,117.3184358,8.95,13.76923077
1914,Nyeing Cham Soe,Myanmar,2,1,1,2,1,1,50,1,2
1915,O Bascome,Bermuda,9,0,88,98,9,9.777777778,89.79591837,10.88888889,10.88888889
1916,O Manishimwe,Rwanda,11,1,98,138,10,9.8,71.01449275,12.54545455,13.8
1917,O Olaleye,Nigeria,4,0,27,34,4,6.75,79.41176471,8.5,8.5
1918,O Stewart,Bahamas,4,0,12,11,4,3,109.0909091,2.75,2.75
1919,O Thomas,West Indies,6,2,9,15,4,2.25,60,2.5,3.75
1920,O Touray,Gambia,2,0,6,7,2,3,85.71428571,3.5,3.5
1921,O Tuyisenge,Rwanda,30,2,480,433,28,17.14285714,110.8545035,14.43333333,15.46428571
1922,OA Shah,England,15,1,347,283,14,24.78571429,122.614841,18.86666667,20.21428571
1923,OB Nightingale,Guernsey,5,1,60,66,4,15,90.90909091,13.2,16.5
1924,OC McCoy,West Indies,10,4,63,55,6,10.5,114.5454545,5.5,9.166666667
1925,OD Hald,Denmark,10,3,101,85,7,14.42857143,118.8235294,8.5,12.14285714
1926,OE Newey,Guernsey,3,1,52,57,2,26,91.22807018,19,28.5
1927,OF Smith,West Indies,20,7,193,135,13,14.84615385,142.962963,6.75,10.38461538
1928,OGL Bascome,Bermuda,11,0,104,103,11,9.454545455,100.9708738,9.363636364,9.363636364
1929,OH Agbomadzie,Ghana,15,2,367,297,13,28.23076923,123.5690236,19.8,22.84615385
1930,OJ Hairs,Scotland,18,1,392,203,17,23.05882353,193.1034483,11.27777778,11.94117647
1931,OJ Webster,Isle of Man,1,0,5,7,1,5,71.42857143,7,7
1932,OL Pitcher,Bermuda,1,0,13,18,1,13,72.22222222,18,18
1933,OO Bascome,Bermuda,2,0,22,23,2,11,95.65217391,11.5,11.5
1934,OP Stone,England,1,0,0,1,1,0,0,1,1
1935,OR Willis,Cayman Islands,4,0,19,36,4,4.75,52.77777778,9,9
1936,Omar Hayat,Denmark,3,0,12,8,3,4,150,2.666666667,2.666666667
1937,Omar Hussain,Lesotho,6,0,44,54,6,7.333333333,81.48148148,9,9
1938,Omar Rassol,Bulgaria,16,3,286,205,13,22,139.5121951,12.8125,15.76923077
1939,Omid Mailk Khel,Belgium,4,1,66,65,3,22,101.5384615,16.25,21.66666667
1940,Osama Mahmood,Switzerland,11,2,252,212,9,28,118.8679245,19.27272727,23.55555556
1941,Ousman Bah,Gambia,6,1,22,56,5,4.4,39.28571429,9.333333333,11.2
1942,Ovais Yousof,Nigeria,2,0,38,56,2,19,67.85714286,28,28
1943,P Abanda,Cameroon,9,0,54,88,9,6,61.36363636,9.777777778,9.777777778
1944,P Abhijit,Seychelles,2,0,5,9,2,2.5,55.55555556,4.5,4.5
1945,P Aho,Nigeria,14,4,169,155,10,16.9,109.0322581,11.07142857,15.5
1946,P Arrighi,Argentina,2,0,27,31,2,13.5,87.09677419,15.5,15.5
1947,P Ayoleyine,Ghana,1,0,0,1,1,0,0,1,1
1948,P Baron,Argentina,10,1,220,226,9,24.44444444,97.34513274,22.6,25.11111111
1949,P Bhart,Norway,4,2,5,25,2,2.5,20,6.25,12.5
1950,P Bosnjak,Croatia,5,0,16,20,5,3.2,80,4,4
1951,P Buccimazza,Portugal,3,1,8,16,2,4,50,5.333333333,8
1952,P Byron,Seychelles,1,0,0,1,1,0,0,1,1
1953,P Cabebula,Fiji,4,-1,1,10,5,0.2,10,2.5,2
1954,P Campbell,Gambia,4,1,15,32,3,5,46.875,8,10.66666667
1955,P Chin,Cayman Islands,2,0,33,37,2,16.5,89.18918919,18.5,18.5
1956,P Danci,Romania,1,0,12,15,1,12,80,15,15
1957,P Dhiman,Spain,4,0,41,55,4,10.25,74.54545455,13.75,13.75
1958,P Fernando,Italy,1,0,0,3,1,0,0,3,3
1959,P Florin,Romania,5,3,23,29,2,11.5,79.31034483,5.8,14.5
1960,P Hatchman,Gibraltar,5,1,55,52,4,13.75,105.7692308,10.4,13
1961,P Heron,Cayman Islands,2,0,2,9,2,1,22.22222222,4.5,4.5
1962,P Hingorani,Romania,2,1,1,3,1,1,33.33333333,1.5,3
1963,P Jayawickrama,Sri Lanka,1,1,0,5,0,0,0,5,inf
1964,P Kerai,Kenya,1,0,0,1,1,0,0,1,1
1965,P Khadka,Nepal,28,2,681,514,26,26.19230769,132.4902724,18.35714286,19.76923077
1966,P Khari,Czech Republic,1,0,13,17,1,13,76.47058824,17,17
1967,P Koech,Kenya,1,0,5,4,1,5,125,4,4
1968,P Kumar,India,3,0,7,16,3,2.333333333,43.75,5.333333333,5.333333333
1969,P Kumbhare,Japan,7,3,15,26,4,3.75,57.69230769,3.714285714,6.5
1970,P Kurup,Bahrain,8,1,189,154,7,27,122.7272727,19.25,22
1971,P Magafas,Greece,3,0,49,50,3,16.33333333,98,16.66666667,16.66666667
1972,P Malav,Luxembourg,7,1,28,42,6,4.666666667,66.66666667,6,7
1973,P Manning,Cayman Islands,10,1,129,170,9,14.33333333,75.88235294,17,18.88888889
1974,P Mishra,Bulgaria,25,0,378,287,25,15.12,131.7073171,11.48,11.48
1975,P Murungi,Uganda,15,5,166,138,10,16.6,120.2898551,9.2,13.8
1976,P Mustard,England,2,0,60,37,2,30,162.1621622,18.5,18.5
1977,P Nissanka,Sri Lanka,39,1,1025,924,38,26.97368421,110.9307359,23.69230769,24.31578947
1978,P Pirabakaran,France,1,0,13,13,1,13,100,13,13
1979,P Pustoslemsek,Slovenia,4,0,33,51,4,8.25,64.70588235,12.75,12.75
1980,P Raho,Papua New Guinea,2,2,10,6,0,10,166.6666667,3,inf
1981,P Sadev,Italy,1,0,1,4,1,1,25,4,4
1982,P Sarraf,Nepal,14,2,107,118,12,8.916666667,90.6779661,8.428571429,9.833333333
1983,P Sharma,Kenya,2,1,47,32,1,47,146.875,16,32
1984,P Silas,Botswana,17,4,209,196,13,16.07692308,106.6326531,11.52941176,15.07692308
1985,P Suanchuai,Thailand,11,2,115,171,9,12.77777778,67.25146199,15.54545455,19
1986,P Taylor,Czech Republic,1,0,5,7,1,5,71.42857143,7,7
1987,P Thongsa,Thailand,2,1,3,13,1,3,23.07692308,6.5,13
1988,P Useni,Nigeria,10,8,39,37,2,19.5,105.4054054,3.7,18.5
1989,P Utseya,Zimbabwe,17,7,77,96,10,7.7,80.20833333,5.647058824,9.6
1990,P Vekaria,Rwanda,6,4,55,38,2,27.5,144.7368421,6.333333333,19
1991,PA Desai,Canada,1,1,4,7,0,4,57.14285714,7,inf
1992,PA Hitchcock,New Zealand,1,0,13,11,1,13,118.1818182,11,11
1993,PA Nixon,England,1,1,31,22,0,31,140.9090909,22,inf
1994,PA Patel,India,2,0,36,32,2,18,112.5,16,16
1995,PA Raikes,Gibraltar,10,2,271,235,8,33.875,115.3191489,23.5,29.375
1996,PA van Meekeren,Netherlands,13,0,99,81,13,7.615384615,122.2222222,6.230769231,6.230769231
1997,PADLR Sandakan,Sri Lanka,7,4,23,38,3,7.666666667,60.52631579,5.428571429,12.66666667
1998,PB Gouge,Jersey,1,0,0,1,1,0,0,1,1
1999,PBB Rajapaksa,Sri Lanka,33,5,678,507,28,24.21428571,133.7278107,15.36363636,18.10714286
2000,PC Connell,Ireland,3,2,4,7,1,4,57.14285714,2.333333333,7
2001,PC de Silva,Sri Lanka,2,0,22,22,2,11,100,11,11
2002,PD Collingwood,England,32,2,583,454,30,19.43333333,128.4140969,14.1875,15.13333333
2003,PD Hennessy,Spain,8,1,134,141,7,19.14285714,95.03546099,17.625,20.14285714
2004,PD McGlashan,New Zealand,9,1,61,64,8,7.625,95.3125,7.111111111,8
2005,PD Salt,England,15,1,308,207,14,22,148.7922705,13.8,14.78571429
2006,PF Gallagher,Finland,15,2,133,103,13,10.23076923,129.1262136,6.866666667,7.923076923
2007,PG Fulton,New Zealand,11,1,111,123,10,11.1,90.24390244,11.18181818,12.3
2008,PHKD Mendis,Sri Lanka,4,0,35,33,4,8.75,106.0606061,8.25,8.25
2009,PJ Cummins,Australia,17,6,103,87,11,9.363636364,118.3908046,5.117647059,7.909090909
2010,PJ Hughes,Australia,1,0,6,8,1,6,75,8,8
2011,PJ Ingram,New Zealand,2,1,22,33,1,22,66.66666667,16.5,33
2012,PJ Moor,Zimbabwe,18,4,357,275,14,25.5,129.8181818,15.27777778,19.64285714
2013,PJ Ongondo,Kenya,4,0,19,15,4,4.75,126.6666667,3.75,3.75
2014,PJ van Biljon,South Africa,8,2,125,100,6,20.83333333,125,12.5,16.66666667
2015,PK Matautaava,Vanuatu,14,2,312,204,12,26,152.9411765,14.57142857,17
2016,PKD Chase,Ireland,4,3,7,13,1,7,53.84615385,3.25,13
2017,PL Bruno,Argentina,3,1,23,36,2,11.5,63.88888889,12,18
2018,PL Mommsen,Scotland,13,3,324,251,10,32.4,129.0836653,19.30769231,25.1
2019,PM Liyanagamage,Sri Lanka,2,0,2,4,2,1,50,2,2
2020,PM Nevill,Australia,5,4,25,11,1,25,227.2727273,2.2,11
2021,PM Seelaar,Netherlands,39,10,497,457,29,17.13793103,108.7527352,11.71794872,15.75862069
2022,PM Siddle,Australia,1,1,1,1,0,1,100,1,inf
2023,PP Chawla,India,1,0,0,1,1,0,0,1,1
2024,PP Ojha,India,1,1,10,6,0,10,166.6666667,6,inf
2025,PP Shaw,India,1,0,0,1,1,0,0,1,1
2026,PR Brown,England,1,1,4,9,0,4,44.44444444,9,inf
2027,PR Stirling,Ireland,117,9,3177,2317,108,29.41666667,137.1169616,19.8034188,21.4537037
2028,PR Surve,Indonesia,6,0,146,141,6,24.33333333,103.5460993,23.5,23.5
2029,PRP Boissevain,Netherlands,2,0,7,14,2,3.5,50,7,7
2030,PS Airee,Nepal,9,0,79,91,9,8.777777778,86.81318681,10.11111111,10.11111111
2031,PSP Handscomb,Australia,2,1,33,33,1,33,100,16.5,33
2032,PV Vuniwaqa,Fiji,5,1,245,141,4,61.25,173.7588652,28.2,35.25
2033,PVD Chameera,Sri Lanka,25,10,91,110,15,6.066666667,82.72727273,4.4,7.333333333
2034,PW Borren,Netherlands,32,4,539,411,28,19.25,131.1435523,12.84375,14.67857143
2035,PWA Mulder,South Africa,3,1,51,44,2,25.5,115.9090909,14.66666667,22
2036,PWH de Silva,Sri Lanka,47,10,499,410,37,13.48648649,121.7073171,8.723404255,11.08108108
2037,Paing Danu,Myanmar,4,0,8,22,4,2,36.36363636,5.5,5.5
2038,Pargat Singh,Canada,6,1,122,110,5,24.4,110.9090909,18.33333333,22
2039,Parveen Kumar,Finland,1,0,3,7,1,3,42.85714286,7,7
2040,Parvez Hossain Emon,Bangladesh,1,0,2,6,1,2,33.33333333,6,6
2041,Parvez Rasool,India,1,0,5,6,1,5,83.33333333,6,6
2042,Pavandeep Singh,Malaysia,8,7,10,21,1,10,47.61904762,2.625,21
2043,Pratik Agnihotri,Norway,2,0,25,36,2,12.5,69.44444444,18,18
2044,Pyae Phyo Wai,Myanmar,4,0,32,58,4,8,55.17241379,14.5,14.5
2045,Q de Kock,South Africa,73,7,2159,1554,66,32.71212121,138.9317889,21.28767123,23.54545455
2046,Qadeer Ahmed,United Arab Emirates,4,3,7,10,1,7,70,2.5,10
2047,Qais Ahmad,Afghanistan,1,0,8,9,1,8,88.88888889,9,9
2048,Qalandar Khan,Qatar,1,0,25,17,1,25,147.0588235,17,17
2049,Qamar Mushtaque,Norway,4,3,21,14,1,21,150,3.5,14
2050,Qasim Anwar,Cyprus,1,0,1,2,1,1,50,2,2
2051,Qudratullah Mir Afzail,Sweden,5,2,24,20,3,8,120,4,6.666666667
2052,R Abdulkareem,Nigeria,4,2,31,32,2,15.5,96.875,8,16
2053,R Ashwin,India,17,10,182,156,7,26,116.6666667,9.176470588,22.28571429
2054,R Athapaththu,Romania,3,3,17,16,0,17,106.25,5.333333333,inf
2055,R Baaleri,Ghana,7,2,70,110,5,14,63.63636364,15.71428571,22
2056,R Bakum,Ghana,21,2,402,279,19,21.15789474,144.0860215,13.28571429,14.68421053
2057,R Brar,Cyprus,1,0,0,2,1,0,0,2,2
2058,R Coker,Sierra Leone,5,1,33,62,4,8.25,53.22580645,12.4,15.5
2059,R Cunningham,Gibraltar,2,2,10,13,0,10,76.92307692,6.5,inf
2060,R Davson,Bahamas,2,0,13,23,2,6.5,56.52173913,11.5,11.5
2061,R Dhawan,India,1,1,1,2,0,1,50,2,inf
2062,R Dhiman,Bulgaria,3,1,17,17,2,8.5,100,5.666666667,8.5
2063,R Drake,Japan,3,2,4,6,1,4,66.66666667,2,6
2064,R Dravid,India,1,0,31,21,1,31,147.6190476,21,21
2065,R Escobar,Argentina,9,3,116,157,6,19.33333333,73.88535032,17.44444444,26.16666667
2066,R Flannigan,Scotland,2,1,33,28,1,33,117.8571429,14,28
2067,R Francis,St Helena,3,1,11,11,2,5.5,100,3.666666667,5.5
2068,R Gaznavi,Singapore,11,-1,115,144,12,9.583333333,79.86111111,13.09090909,12
2069,R Goodwin,Philippines,8,2,23,48,6,3.833333333,47.91666667,6,8
